Task ID,Task Name,Description,Priority,Deadline,Status,Assignee,Time Taken (hrs),Overdue,Days Until Deadline,Processed_Description,Category,PriorityEncoded,Progress
1,Task 1,Description of task 1,Low,2025-04-10 05:31:39,In Progress,User1,1,True,-46.0,descript task,Overdue,1.0,50
2,Task 2,Description of task 2,High,2025-01-27 05:31:39,Completed,User4,9,True,-119.0,descript task,Overdue,0.0,100
3,Task 3,Description of task 3,Low,2025-04-13 05:31:39,To Do,User4,6,True,-43.0,descript task,Overdue,1.0,0
4,Task 4,Description of task 4,Low,2025-02-14 05:31:39,To Do,User4,7,True,-101.0,descript task,Overdue,1.0,0
5,Task 5,Description of task 5,High,2025-05-07 05:31:39,To Do,User4,7,True,-19.0,descript task,Overdue,0.0,0
6,Task 6,Description of task 6,High,2025-09-10 05:31:39,To Do,User4,3,False,107.0,descript task,On Time,0.0,0
7,Task 7,Description of task 7,Low,2025-08-13 05:31:39,Completed,User3,2,False,79.0,descript task,On Time,1.0,100
8,Task 8,Description of task 8,Medium,2025-07-14 05:31:39,To Do,User3,9,False,49.0,descript task,On Time,2.0,0
9,Task 9,Description of task 9,Low,2025-01-05 05:31:39,In Progress,User1,8,True,-141.0,descript task,Overdue,1.0,50
10,Task 10,Description of task 10,Low,2024-12-23 05:31:39,In Progress,User4,7,True,-154.0,descript task,Overdue,1.0,50
11,Task 11,Description of task 11,Low,2025-04-09 05:31:39,In Progress,User1,9,True,-47.0,descript task,Overdue,1.0,50
12,Task 12,Description of task 12,Low,2025-06-14 05:31:39,Completed,User4,4,False,19.0,descript task,On Time,1.0,100
13,Task 13,Description of task 13,High,2025-10-19 05:31:39,To Do,User4,4,False,146.0,descript task,On Time,0.0,0
14,Task 14,Description of task 14,Low,2025-08-20 05:31:39,To Do,User3,1,False,86.0,descript task,On Time,1.0,0
15,Task 15,Description of task 15,Medium,2024-12-28 05:31:39,To Do,User3,8,True,-149.0,descript task,Overdue,2.0,0
16,Task 16,Description of task 16,High,2025-01-12 05:31:39,Completed,User2,3,True,-134.0,descript task,Overdue,0.0,100
17,Task 17,Description of task 17,Medium,2025-01-26 05:31:39,In Progress,User3,7,True,-120.0,descript task,Overdue,2.0,50
18,Task 18,Description of task 18,Medium,2025-06-29 05:31:39,In Progress,User2,2,False,34.0,descript task,On Time,2.0,50
19,Task 19,Description of task 19,Medium,2025-09-14 05:31:39,To Do,User2,2,False,111.0,descript task,On Time,2.0,0
20,Task 20,Description of task 20,Medium,2025-03-04 05:31:39,In Progress,User2,7,True,-83.0,descript task,Overdue,2.0,50
21,Task 21,Description of task 21,High,2025-05-16 05:31:39,In Progress,User2,6,True,-10.0,descript task,Overdue,0.0,50
22,Task 22,Description of task 22,High,2025-11-20 05:31:39,Completed,User2,3,False,178.0,descript task,On Time,0.0,100
23,Task 23,Description of task 23,Medium,2025-06-27 05:31:39,Completed,User1,9,False,32.0,descript task,On Time,2.0,100
24,Task 24,Description of task 24,Medium,2024-12-30 05:31:39,Completed,User3,6,True,-147.0,descript task,Overdue,2.0,100
25,Task 25,Description of task 25,High,2025-07-10 05:31:39,Completed,User2,6,False,45.0,descript task,On Time,0.0,100
26,Task 26,Description of task 26,High,2025-03-06 05:31:39,To Do,User4,1,True,-81.0,descript task,Overdue,0.0,0
27,Task 27,Description of task 27,High,2025-04-05 05:31:39,Completed,User3,4,True,-51.0,descript task,Overdue,0.0,100
28,Task 28,Description of task 28,Low,2025-08-09 05:31:39,In Progress,User3,6,False,75.0,descript task,On Time,1.0,50
29,Task 29,Description of task 29,Low,2024-11-30 05:31:39,To Do,User2,6,True,-177.0,descript task,Overdue,1.0,0
30,Task 30,Description of task 30,Low,2025-07-01 05:31:39,In Progress,User1,5,False,36.0,descript task,On Time,1.0,50
31,Task 31,Description of task 31,Medium,2025-08-07 05:31:39,In Progress,User2,1,False,73.0,descript task,On Time,2.0,50
32,Task 32,Description of task 32,Low,2025-11-19 05:31:39,In Progress,User1,8,False,177.0,descript task,On Time,1.0,50
33,Task 33,Description of task 33,Medium,2025-09-04 05:31:39,Completed,User4,5,False,101.0,descript task,On Time,2.0,100
34,Task 34,Description of task 34,Medium,2025-06-20 05:31:39,Completed,User3,5,False,25.0,descript task,On Time,2.0,100
35,Task 35,Description of task 35,Low,2024-12-10 05:31:39,To Do,User4,7,True,-167.0,descript task,Overdue,1.0,0
36,Task 36,Description of task 36,Medium,2025-11-06 05:31:39,To Do,User1,4,False,164.0,descript task,On Time,2.0,0
37,Task 37,Description of task 37,Low,2025-01-06 05:31:39,Completed,User1,6,True,-140.0,descript task,Overdue,1.0,100
38,Task 38,Description of task 38,Low,2025-05-23 05:31:39,In Progress,User4,4,True,-3.0,descript task,Overdue,1.0,50
39,Task 39,Description of task 39,High,2025-01-27 05:31:39,To Do,User1,3,True,-119.0,descript task,Overdue,0.0,0
40,Task 40,Description of task 40,Low,2025-11-12 05:31:39,Completed,User4,7,False,170.0,descript task,On Time,1.0,100
41,Task 41,Description of task 41,High,2025-07-14 05:31:39,Completed,User3,8,False,49.0,descript task,On Time,0.0,100
42,Task 42,Description of task 42,Low,2025-07-24 05:31:39,Completed,User4,4,False,59.0,descript task,On Time,1.0,100
43,Task 43,Description of task 43,Low,2025-01-16 05:31:39,In Progress,User3,2,True,-130.0,descript task,Overdue,1.0,50
44,Task 44,Description of task 44,High,2025-03-01 05:31:39,Completed,User4,3,True,-86.0,descript task,Overdue,0.0,100
45,Task 45,Description of task 45,High,2025-07-05 05:31:39,Completed,User1,1,False,40.0,descript task,On Time,0.0,100
46,Task 46,Description of task 46,Low,2025-07-14 05:31:39,Completed,User4,8,False,49.0,descript task,On Time,1.0,100
47,Task 47,Description of task 47,Medium,2025-07-20 05:31:39,Completed,User1,3,False,55.0,descript task,On Time,2.0,100
48,Task 48,Description of task 48,High,2025-04-17 05:31:39,To Do,User4,7,True,-39.0,descript task,Overdue,0.0,0
49,Task 49,Description of task 49,Medium,2025-05-15 05:31:39,To Do,User4,5,True,-11.0,descript task,Overdue,2.0,0
50,Task 50,Description of task 50,Medium,2024-12-24 05:31:39,Completed,User2,5,True,-153.0,descript task,Overdue,2.0,100
51,Task 51,Description of task 51,Medium,2024-12-31 05:31:39,In Progress,User1,7,True,-146.0,descript task,Overdue,2.0,50
